latitude,longitude,time,GPI
36.5,114.5,13602255.0,0.0
36.5,115.5,13602255.0,0.0
36.5,116.5,13602255.0,0.0
36.5,117.5,13602255.0,0.0
36.5,118.5,13602255.0,0.0
36.5,119.5,13602255.0,0.0
36.5,120.5,13602255.0,0.0
35.5,30.5,13602255.0,0.0
35.5,31.5,13602255.0,0.0
35.5,32.5,13602255.0,0.0066705896
35.5,33.5,13602255.0,0.088167414
35.5,34.5,13602255.0,0.16357176
35.5,35.5,13602255.0,0.12639448
35.5,36.5,13602255.0,0.021409279
35.5,37.5,13602255.0,0.0020227428
35.5,38.5,13602255.0,0.0
35.5,39.5,13602255.0,0.0
35.5,40.5,13602255.0,0.0
35.5,41.5,13602255.0,0.0
35.5,42.5,13602255.0,0.0
35.5,43.5,13602255.0,0.0
35.5,44.5,13602255.0,0.0
35.5,45.5,13602255.0,0.0
35.5,46.5,13602255.0,0.0
35.5,47.5,13602255.0,0.0
35.5,48.5,13602255.0,0.0
35.5,49.5,13602255.0,0.0
35.5,50.5,13602255.0,0.0
35.5,51.5,13602255.0,0.0
35.5,52.5,13602255.0,0.0
35.5,53.5,13602255.0,0.0
35.5,54.5,13602255.0,0.0
35.5,55.5,13602255.0,0.0
35.5,56.5,13602255.0,0.0
35.5,57.5,13602255.0,0.0
35.5,58.5,13602255.0,0.0
35.5,59.5,13602255.0,0.0
35.5,60.5,13602255.0,0.0
35.5,61.5,13602255.0,0.0
35.5,62.5,13602255.0,0.0
35.5,63.5,13602255.0,0.0
35.5,64.5,13602255.0,0.0
35.5,65.5,13602255.0,0.0
35.5,66.5,13602255.0,0.0
35.5,67.5,13602255.0,0.0
35.5,68.5,13602255.0,0.0
35.5,69.5,13602255.0,0.0
35.5,70.5,13602255.0,0.0
35.5,71.5,13602255.0,0.0
35.5,72.5,13602255.0,0.0
35.5,73.5,13602255.0,0.0
35.5,74.5,13602255.0,0.0
35.5,75.5,13602255.0,0.0
35.5,76.5,13602255.0,0.0
35.5,77.5,13602255.0,0.0
35.5,78.5,13602255.0,0.0
35.5,79.5,13602255.0,0.0
35.5,80.5,13602255.0,0.0
35.5,81.5,13602255.0,0.0
35.5,82.5,13602255.0,0.0
35.5,83.5,13602255.0,0.0
35.5,84.5,13602255.0,0.0
35.5,85.5,13602255.0,0.0
35.5,86.5,13602255.0,0.0
35.5,87.5,13602255.0,0.0
35.5,88.5,13602255.0,0.0
35.5,89.5,13602255.0,0.0
35.5,90.5,13602255.0,0.0
35.5,91.5,13602255.0,0.0
35.5,92.5,13602255.0,0.0
