time,YEAR,MO,DY,HR,T2M,WS10M,RH2M,PRECTOTCORR,LAT,LON
2022-10-19 00:00:00,2022,10,19,0,20.93,1.43,96.83,42.35,12.98,77.57
2022-10-19 01:00:00,2022,10,19,1,20.76,1.59,97.07,48.59,12.98,77.57
2022-10-19 02:00:00,2022,10,19,2,20.61,1.86,96.98,46.9,12.98,77.57
2022-10-19 03:00:00,2022,10,19,3,20.43,2.12,96.69,35.34,12.98,77.57
2022-10-19 04:00:00,2022,10,19,4,20.25,2.23,96.83,17.96,12.98,77.57
2022-10-19 05:00:00,2022,10,19,5,20.1,2.17,97.0,4.81,12.98,77.57
2022-10-19 06:00:00,2022,10,19,6,20.27,2.24,96.55,0.59,12.98,77.57
2022-10-19 07:00:00,2022,10,19,7,21.12,2.45,92.78,0.08,12.98,77.57
2022-10-19 08:00:00,2022,10,19,8,22.69,2.13,85.03,6.59,12.98,77.57
2022-10-19 09:00:00,2022,10,19,9,24.44,1.77,77.47,1.08,12.98,77.57
2022-10-19 10:00:00,2022,10,19,10,25.64,1.42,72.34,1.0,12.98,77.57
2022-10-19 11:00:00,2022,10,19,11,26.3,1.2,69.33,2.62,12.98,77.57
2022-10-19 12:00:00,2022,10,19,12,26.83,1.07,66.95,12.04,12.98,77.57
2022-10-19 13:00:00,2022,10,19,13,27.05,1.01,65.51,24.33,12.98,77.57
2022-10-19 14:00:00,2022,10,19,14,26.96,1.07,65.34,27.94,12.98,77.57
2022-10-19 15:00:00,2022,10,19,15,26.49,1.12,67.34,28.0,12.98,77.57
2022-10-19 16:00:00,2022,10,19,16,25.92,0.96,72.47,34.78,12.98,77.57
2022-10-19 17:00:00,2022,10,19,17,24.6,1.07,80.03,13.78,12.98,77.57
2022-10-19 18:00:00,2022,10,19,18,23.5,1.14,85.97,4.13,12.98,77.57
2022-10-19 19:00:00,2022,10,19,19,22.76,1.32,89.83,1.89,12.98,77.57
2022-10-19 20:00:00,2022,10,19,20,22.13,1.51,92.64,3.03,12.98,77.57
2022-10-19 21:00:00,2022,10,19,21,21.62,1.66,94.25,7.96,12.98,77.57
2022-10-19 22:00:00,2022,10,19,22,21.19,1.77,95.25,14.83,12.98,77.57
2022-10-19 23:00:00,2022,10,19,23,20.84,1.93,96.04,32.4,12.98,77.57
2022-10-20 00:00:00,2022,10,20,0,20.52,2.07,96.56,59.61,12.98,77.57
2022-10-20 01:00:00,2022,10,20,1,20.2,2.1,97.02,80.11,12.98,77.57
2022-10-20 02:00:00,2022,10,20,2,19.8,1.99,97.85,117.46,12.98,77.57
2022-10-20 03:00:00,2022,10,20,3,19.39,1.91,98.64,85.69,12.98,77.57
2022-10-20 04:00:00,2022,10,20,4,19.19,1.84,98.94,82.79,12.98,77.57
2022-10-20 05:00:00,2022,10,20,5,19.07,1.77,99.09,31.77,12.98,77.57
